iter	RMSE
0	3135.837299
1	2547.074159
2	2254.492184
3	2071.332776
4	1978.52719
5	1931.710519
6	1903.388117
7	1883.917075
8	1860.203873
9	1849.515073
10	1839.203069
11	1825.475455
12	1814.629236
13	1796.862578
14	1788.881368
15	1780.891791
16	1773.534199
17	1764.699963
18	1758.98276
19	1754.228385
20	1745.775253
21	1739.809921
22	1735.515932
23	1731.108204
24	1724.485073
25	1717.891372
26	1714.422158
27	1703.309268
28	1697.6072
29	1690.743643
30	1683.335635
31	1677.876796
32	1673.617824
33	1670.309082
34	1666.143398
35	1662.234391
36	1658.287784
37	1652.597708
38	1649.766138
39	1646.043195
40	1641.400375
41	1638.090067
42	1635.341151
43	1632.175573
44	1630.116962
45	1628.427914
46	1625.806197
47	1623.816781
48	1621.648341
49	1619.449473
50	1619.421512
51	1617.421597
52	1615.883743
53	1614.037053
54	1612.199552
55	1609.788749
56	1605.778383
57	1602.529029
58	1600.279964
59	1597.353401
60	1595.497557
61	1594.871838
62	1591.343669
63	1589.024517
64	1585.944128
65	1583.654478
66	1580.652338
67	1578.470526
68	1576.046165
69	1574.40053
70	1571.124108
71	1569.014037
72	1567.840392
73	1565.700073
74	1563.497565
75	1561.714148
76	1560.839258
77	1559.404815
78	1556.792358
79	1554.087991
80	1552.072638
81	1549.633372
82	1548.543965
83	1546.674099
84	1544.538903
85	1542.932074
86	1540.937024
87	1539.514041
88	1537.461439
89	1535.680912
90	1533.666681
91	1532.541468
92	1530.062455
93	1526.98402
94	1525.346501
95	1523.514994
96	1520.936424
97	1520.124211
98	1518.866155
99	1517.859446
