iter	Passed	Remaining
0	129	12809
1	218	10695
2	304	9832
3	391	9387
4	472	8975
5	552	8658
6	644	8562
7	739	8503
8	827	8365
9	908	8179
10	996	8065
11	1078	7906
12	1156	7742
13	1239	7614
14	1317	7464
15	1410	7404
16	1498	7315
17	1590	7246
18	1673	7132
19	1772	7089
20	1861	7002
21	1940	6879
22	2065	6915
23	2153	6819
24	2237	6713
25	2318	6598
26	2408	6512
27	2488	6399
28	2578	6312
29	2668	6227
30	2753	6128
31	2844	6044
32	2948	5986
33	3034	5891
34	3116	5788
35	3213	5712
36	3294	5609
37	3379	5514
38	3523	5510
39	3623	5435
40	3708	5336
41	3796	5243
42	3883	5147
43	3967	5049
44	4064	4968
45	4145	4865
46	4231	4771
47	4322	4682
48	4420	4600
49	4503	4503
50	4596	4416
51	4681	4321
52	4773	4233
53	4860	4140
54	4969	4066
55	5063	3978
56	5150	3885
57	5232	3788
58	5318	3695
59	5405	3603
60	5493	3512
61	5582	3421
62	5664	3326
63	5767	3244
64	5861	3156
65	5946	3063
66	6033	2971
67	6125	2882
68	6224	2796
69	6317	2707
70	6400	2614
71	6494	2525
72	6578	2433
73	6664	2341
74	6746	2248
75	6837	2159
76	6917	2066
77	7000	1974
78	7075	1880
79	7175	1793
80	7285	1708
81	7390	1622
82	7477	1531
83	7560	1440
84	7632	1346
85	7723	1257
86	7804	1166
87	7903	1077
88	8054	995
89	8168	907
90	8262	817
91	8350	726
92	8435	634
93	8523	544
94	8642	454
95	8729	363
96	8815	272
97	8898	181
98	8981	90
99	9064	0
